區域,餐廳名,類別,評分,評論數,一,二,三,四,五,六,日,$
公館、水源,初牛,j,4.2,1890,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,11:30-14:00/17:30-21:00,11:30-21:30,11:30-21:30,2
公館、水源,母女的店,koh,4.1,692,11:30-14:00/17:30-20:30,x,11:30-14:00/17:30-20:30,11:30-14:00/17:30-20:30,11:30-14:00/17:30-20:30,11:30-14:00/17:30-20:30,11:30-14:00/17:30-20:30,1
公館、水源,赤神日式豬排,j,4.2,1806,11:30-14:00/17:00-22:00,11:30-14:00/17:00-22:00,11:30-14:00/17:00-22:00,11:30-14:00/17:00-22:00,11:30-14:00/17:00-22:00,11:30-22:00,11:30-22:00,2
公館、水源,狗一下居酒食堂,j,4.2,2244,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,11:30-14:30/17:00-23:00,3
公館、水源,韓天閣,k,3.9,932,11:30-14:30/17:00-21:30,11:30-14:30/17:00-21:30,11:30-14:30/17:00-21:30,11:30-14:30/17:00-21:30,11:30-14:30/17:00-21:30,11:30-14:30/17:00-21:30,11:30-14:30/17:00-21:30,2
公館、水源,阿鸞手工法國麵包,koh,4.2,180,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,06:00-23:00,1
公館、水源,魷魚羹.花枝羹,tw,4.5,11,17:00-23:30,17:00-23:30,x,17:00-23:30,17:00-23:30,17:00-23:30,17:00-23:30,1
公館、水源,素食鹹酥雞,tw,4.6,62,16:30-22:00,16:30-22:00,x,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,1
公館、水源,生機沙拉船,am,4.2,59,16:00-23:00,16:00-23:00,x,16:00-23:00,16:00-23:00,16:00-23:00,16:00-23:00,1
公館、水源,YU POKÉ-夏威夷生魚飯,am,4.6,1342,11:30-20:30,x,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,11:30-20:30,1
公館、水源,楽坡BonBox,tw,4,116,11:30-13:30/17:00-20:00,11:30-13:30/17:00-20:00,11:30-13:30/17:00-20:00,11:30-13:30/17:00-20:00,11:30-13:30/17:00-20:00,11:00-13:30,x,1
公館、水源,都是38廚房,koh,4.8,24,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,1
公館、水源,靜壽司,j,4.4,653,11:00-13:00/17:00-21:00,11:00-13:00/17:00-21:00,11:00-13:00/17:00-21:00,11:00-13:00/17:00-21:00,11:00-13:00/17:00-21:00,11:00-13:00/17:00-21:00,11:00-13:00/17:00-21:00,2
公館、水源,Chic Thai 泰式新定食,koh,3.9,92,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,2
公館、水源,公館食堂,tw,4.6,16,12:00-14:00/17:00-20:30,12:00-14:00/17:00-20:30,12:00-14:00/17:00-20:30,12:00-14:00/17:00-20:30,12:00-14:00/17:00-20:30,12:00-14:00/17:00-20:30,x,1
公館、水源,賢夫美食,hk,4.3,237,x,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-15:00,2
公館、水源,心KOKORO食堂,j,4.3,234,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,x,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,11:30-15:00/17:00-21:00,2
公館、水源,維綸麵食館,ch,3.8,768,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,x,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,1
公館、水源,維都,hk,4.7,402,11:30-14:00/18:00-22:30,11:30-14:00/18:00-21:00,11:30-14:00/18:00-21:00,11:30-14:00/18:00-21:00,11:30-14:00/18:00-22:30,18:00-23:30,18:00-21:00,2
公館、水源,スシロー壽司郎,j,4,1419,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,11:00-22:30,2
公館、水源,曼谷燒,koh,3.9,595,11:00-14:00/17:00-20:30,11:00-14:00/17:00-20:30,11:00-14:00/17:00-20:30,x,11:00-14:00/17:00-20:30,11:00-15:00/16:00-20:30,11:00-15:00/16:00-20:30,1
公館、水源,すき家 SUKIYA,j,4.1,1940,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,00:00-24:00,1
公館、水源,好吃好吃 2號店,am,3.2,408,x,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-21:00,11:30-21:00,2
公館、水源,泰正點泰式料理,koh,3.9,655,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,11:00-14:30/17:00-22:00,2
公館、水源,台北公館胡椒餅,ch,3.9,148,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,x,1
公館、水源,Miss Energy 能量小姐,tw,4.2,568,10:30-14:00/15:00-19:30,10:30-14:00/15:00-19:30,10:30-14:00/15:00-19:30,10:30-14:00/15:00-19:30,10:30-14:00/15:00-19:30,x,x,1
公館、水源,易牙居餐廳,ch,3.9,1217,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-21:00,11:30-21:00,2
公館、水源,麵工坊義大利麵,it,3.8,482,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/17:00-20:30,11:30-15:00/16:30-20:30,11:30-15:00/16:30-20:30,1
公館、水源,香鄉麵食館,ch,3.9,316,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,x,11:00-21:00,1
公館、水源,東雛菊-風味鍋物,tw,4.5,1001,11:30-14:30/17:30-21:50,11:30-14:30/17:30-21:50,11:30-14:30/17:30-21:50,11:30-14:30/17:30-21:50,11:30-14:30/17:30-21:50,11:30-21:50,11:30-21:50,2
公館、水源,蠶居,tw,4.1,753,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-20:00,10:30-16:00,1
公館、水源,晴光紅豆餅,fat,4.1,562,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,1
公館、水源,土司吐司 ToasToasT,br,4,1089,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,1
公館、水源,素食地瓜球,fat,3.9,413,15:30-22:30,15:30-22:30,x,15:30-22:30,15:30-22:30,15:30-22:30,15:30-22:30,1
公館、水源,秋紅肚房,tw,4.7,139,x,x,x,11:00-18:00,11:00-18:00,11:00-19:00,11:00-19:00,1
公館、水源,三米三小館,hk,4.2,208,11:00-14:30/17:00-23:45,11:00-14:30/17:00-23:45,11:00-14:30/17:00-23:45,11:00-14:30/17:00-23:45,11:00-14:30/17:00-23:45,11:00-14:30/17:00-23:45,11:00-14:30/17:00-23:45,1
公館、水源,阿里媽媽南洋料理,koh,4.3,762,11:00-15:30/17:00-22:00,11:00-15:30/17:00-22:00,11:00-15:30/17:00-22:00,11:00-15:30/17:00-22:00,11:00-15:30/17:00-22:00,11:00-15:30/17:00-22:00,11:00-15:30/17:00-22:00,1
公館、水源,銀座河粉蛋麵,koh,4.1,1297,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:00/17:00-21:00,11:00-14:30/17:00-21:00,11:00-14:30/17:00-21:00,1
公館、水源,公館麵線店,tw,3.6,123,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,1
公館、水源,祥記號美食小吃,tw,4,585,x,11:00-15:00/17:00-20:00,11:00-15:00/17:00-20:00,11:00-15:00/17:00-20:00,11:00-15:00/17:00-20:00,11:00-15:00/17:00-20:00,11:00-15:00/17:00-20:00,1
公館、水源,新南城泰式料理,koh,3.2,696,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,11:30-21:30,2
公館、水源,鱷吐司 A Toast,br,4.4,416,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,07:30-15:00,07:30-15:00,1
公館、水源,虹岩屋,tw,4.1,40,x,11:00-19:55,11:00-19:55,11:00-19:55,11:00-19:55,11:00-19:55,11:00-19:55,1
公館、水源,壹森泰食堂~師大第一腿,koh,4.5,1199,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,1
公館、水源,墨洋拉麵,j,4,1003,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-21:00,11:30-14:00/17:00-22:00,11:30-14:30/17:00-22:00,11:30-14:30/17:00-21:00,2
公館、水源,公館清蒸肉圓,tw,4.1,152,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,11:30-21:00,1
公館、水源,潮味決‧湯滷專門店,ch,4,194,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,1
公館、水源,小公館Cafe,fat,3.9,328,x,16:00-23:00,16:00-23:00,16:00-23:00,16:00-24:00,12:00-24:00,12:00-23:00,2
